Monitoring Stations,Month,Year,Date,pH (units),Ammonia (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml)
Stn. IV (Central Bay),7,2015,08/07/2015,9.3,0.051063843,0.133806319,3.138141886,176.9436164,18570
Stn V (Northern West Bay),7,2015,08/07/2015,8.3,0.049576646,0.131114537,2.384766913,180.3731819,488
Stn VIII (South Bay),7,2015,08/07/2015,8.6,0.052808078,0.13742157,2.642921479,172.068977,44271
Stn XV (San Pedro),7,2015,08/07/2015,8.3,0.05009248,0.132133048,2.390719646,179.0257852,7592
Stn.XVI (Sta Rosa),7,2015,08/07/2015,8.7,0.053398554,0.138562991,2.723356841,170.5721224,52163
Stn XVII (Sanctuary),7,2015,08/07/2015,8.5,0.051626179,0.135112388,2.555661088,175.1106721,28234
Stn XVIII (Pagsanjan),7,2015,08/07/2015,8.6,0.05114062,0.134129189,2.623679003,176.4244975,21307
Stn. I (Central West Bay),8,2015,04/08/2015,9.3,0.054449659,0.140491585,3.177214235,168.0996186,65199
Stn II (East Bay),8,2015,04/08/2015,8.3,0.050723985,0.133379949,2.398007218,177.3762485,16289
Stn. IV (Central Bay),8,2015,04/08/2015,9,0.052331294,0.136382293,2.931904465,173.496413,36745
Stn V (Northern West Bay),8,2015,04/08/2015,9.2,0.056729747,0.145018066,3.129905191,162.0983548,96840
Stn VIII (South Bay),8,2015,04/08/2015,8.5,0.050474193,0.132837801,2.542367155,178.1197442,12369
Stn XV (San Pedro),8,2015,04/08/2015,8.5,0.050903619,0.133685699,2.547322737,176.9980516,18283
Stn.XVI (Sta Rosa),8,2015,04/08/2015,8.1,0.05534421,0.142551479,2.304082109,165.216866,80398
Stn XVII (Sanctuary),8,2015,04/08/2015,7.8,0.051575305,0.135183211,2.039725104,174.9249884,29213
Stn XVIII (Pagsanjan),8,2015,04/08/2015,8.3,0.050653479,0.133240735,2.397193577,177.5604154,15318
Stn. I (Central West Bay),9,2015,01/09/2015,8.5,0.050748012,0.133378455,2.54552703,177.4045087,16140
Stn II (East Bay),9,2015,01/09/2015,8.7,0.05097528,0.133778257,2.695392238,176.9018901,18790
Stn. IV (Central Bay),9,2015,01/09/2015,8.4,0.050670467,0.133249809,2.471010882,177.5615533,15312
Stn V (Northern West Bay),9,2015,01/09/2015,7.8,0.049471959,0.131030171,2.015452469,180.4190818,246
Stn VIII (South Bay),9,2015,01/09/2015,9.1,0.052461047,0.136614022,3.007023093,173.2029975,38292
Stn XV (San Pedro),9,2015,01/09/2015,8.6,0.049907599,0.131694599,2.609449928,179.6452384,4326
Stn.XVI (Sta Rosa),9,2015,01/09/2015,8.4,0.052222762,0.136314803,2.488924384,173.5068452,36690
Stn XVII (Sanctuary),9,2015,01/09/2015,7.8,0.050623292,0.133303468,2.02873886,177.4117167,16102
Stn XVIII (Pagsanjan),9,2015,01/09/2015,8.8,0.051131101,0.134061457,2.770811686,176.5403841,20696
Stn. I (Central West Bay),10,2015,05/10/2015,8.4,0.049324024,0.13091007,2,180.3855105,423
Stn II (East Bay),10,2015,05/10/2015,8,0.049708224,0.131563521,2,179.6412561,4347
Stn. IV (Central Bay),10,2015,05/10/2015,8.2,0.049394734,0.130996132,2,180.3325934,702
Stn V (Northern West Bay),10,2015,05/10/2015,7.6,0.05088149,0.132381483,4,179.865252,3166
Stn VIII (South Bay),10,2015,05/10/2015,8.1,0.053495884,0.138399948,3,171.1361931,49189
Stn XV (San Pedro),10,2015,05/10/2015,8,0.05002403,0.131489696,3,180.3324031,703
Stn.XVI (Sta Rosa),10,2015,05/10/2015,8.7,0.053593539,0.138755933,3,170.4803232,52647
Stn XVII (Sanctuary),10,2015,05/10/2015,8.2,0.049410241,0.131026877,2,180.2918149,917
Stn XVIII (Pagsanjan),10,2015,05/10/2015,7.9,0.050742282,0.132186683,4,180.0317798,2288
Stn. I (Central West Bay),11,2015,03/11/2015,7.9,0.04961155,0.131344796,2,179.9619836,2656
Stn II (East Bay),11,2015,03/11/2015,8,0.05009807,0.132336418,2,178.6161042,9752
Stn. IV (Central Bay),11,2015,03/11/2015,7.8,0.050322084,0.132026483,3,179.6816546,4134
Stn V (Northern West Bay),11,2015,03/11/2015,7.8,0.050116704,0.132319236,2,178.7001269,9309
Stn VIII (South Bay),11,2015,03/11/2015,8.3,0.050190967,0.132601781,2,178.1722825,12092
Stn XV (San Pedro),11,2015,03/11/2015,7.8,0.049753906,0.131599963,2,179.6541535,4279
Stn.XVI (Sta Rosa),11,2015,03/11/2015,7.8,0.052731595,0.137503437,2,171.8239276,45563
Stn XVII (Sanctuary),11,2015,03/11/2015,7.8,0.054306414,0.140625625,2,167.6827312,67397
Stn XVIII (Pagsanjan),11,2015,03/11/2015,7.7,0.049747284,0.132259706,1,178.2164759,11859
Stn. I (Central West Bay),12,2015,01/12/2015,8.4,0.049698579,0.131652652,2,179.4005681,5616
Stn II (East Bay),12,2015,01/12/2015,9.6,0.050265666,0.132401762,3,178.6327936,9664
Stn. IV (Central Bay),12,2015,01/12/2015,7.6,0.050898367,0.132414944,4,179.8208698,3400
Stn V (Northern West Bay),12,2015,01/12/2015,8.5,0.04994899,0.131476238,3,180.1971701,1416
Stn VIII (South Bay),12,2015,01/12/2015,8.6,0.050118007,0.131838388,3,179.6862063,4110
Stn XV (San Pedro),12,2015,01/12/2015,8.5,0.049994719,0.131566898,3,180.076921,2050
Stn.XVI (Sta Rosa),12,2015,01/12/2015,8.2,0.049966014,0.131428801,3,180.3519388,600
Stn XVII (Sanctuary),12,2015,01/12/2015,8.4,0.051451011,0.134427034,3,176.3139213,21890
Stn XVIII (Pagsanjan),12,2015,01/12/2015,8.5,0.050143156,0.131861185,3,179.6865857,4108
Stn. I (Central West Bay),1,2016,11/01/2016,7.3,0.049476474,0.120013652,2,2400,24491
Stn II (East Bay),1,2016,11/01/2016,8.2,0.047267896,0.116596607,1,2400,5006
Stn. IV (Central Bay),1,2016,11/01/2016,7.8,0.048595461,0.122341589,2,1600,4702
Stn V (Northern West Bay),1,2016,11/01/2016,8.7,0.050139357,0.1308298,2,540,16989
Stn VIII (South Bay),1,2016,11/01/2016,7.7,0.047092888,0.116118221,1,2400,817
Stn XV (San Pedro),1,2016,11/01/2016,8.3,0.047862262,0.117101578,2,2400,5576
Stn.XVI (Sta Rosa),1,2016,11/01/2016,8.8,0.047738962,0.1169924,2,2400,5620
Stn XVII (Sanctuary),1,2016,11/01/2016,7.9,0.052384297,0.12590147,2,2400,67004
Stn XVIII (Pagsanjan),1,2016,11/01/2016,8,0.046500653,0.109628807,1,3500,6436
Stn. I (Central West Bay),2,2016,01/02/2016,8.4,0.051,0.057,1,1138,3591
Stn II (East Bay),2,2016,01/02/2016,8,0.057,0.059,2,410,8755
Stn. IV (Central Bay),2,2016,01/02/2016,7.8,0.036,0.063,1,522,2649
Stn V (Northern West Bay),2,2016,01/02/2016,8,0.018,0.135,2,360,880
Stn VIII (South Bay),2,2016,01/02/2016,8,0.006,0.098,1,435,893
Stn XV (San Pedro),2,2016,01/02/2016,8,0.027,0.067,1,820,3129
Stn.XVI (Sta Rosa),2,2016,01/02/2016,8.2,0.008,0.04,2,639,3899
Stn XVII (Sanctuary),2,2016,01/02/2016,8.3,0.014,0.052,1,1486,2078
Stn XVIII (Pagsanjan),2,2016,01/02/2016,8.1,0.024,0.056,2,401,8503
Stn. I (Central West Bay),3,2016,01/03/2016,8,0.045,0.021,1,678,3997
Stn II (East Bay),3,2016,01/03/2016,8.3,0.264,0.004,1,333,28614
Stn. IV (Central Bay),3,2016,01/03/2016,8.1,0.019,0.006,1,457,10680
Stn V (Northern West Bay),3,2016,01/03/2016,8,0.133,0.037,1,357,6442
Stn VIII (South Bay),3,2016,01/03/2016,7.8,0.22,0.001,1,672,15928
Stn XV (San Pedro),3,2016,01/03/2016,8.1,0.169,0.03,1,485,41716
Stn.XVI (Sta Rosa),3,2016,01/03/2016,8.2,0.027,0.003,1,271,60389
Stn XVII (Sanctuary),3,2016,01/03/2016,8.1,0.092,0.016,1,918,61986
Stn XVIII (Pagsanjan),3,2016,01/03/2016,7.8,0.01,0.007,1,301,40833
Stn. I (Central West Bay),4,2016,04/04/2016,8.7,0.152,0.125,1,144,2399
Stn II (East Bay),4,2016,04/04/2016,8.5,0.085,0.071,1,27,9836
Stn. IV (Central Bay),4,2016,04/04/2016,8.7,0.129,0.104,1,125,63490
Stn V (Northern West Bay),4,2016,04/04/2016,8.9,0.083,0.102,1,125,563
Stn VIII (South Bay),4,2016,04/04/2016,8.5,0.094,0.084,1,428,102689
Stn XV (San Pedro),4,2016,04/04/2016,8.3,0.088,0.103,2,201,64319
Stn.XVI (Sta Rosa),4,2016,04/04/2016,8.3,0.081,0.087,1,165,115769
Stn XVII (Sanctuary),4,2016,04/04/2016,8.6,0.058,0.089,1,294,42025
Stn XVIII (Pagsanjan),4,2016,04/04/2016,8.7,0.068,0.031,1,110,21522
Stn. I (Central West Bay),5,2016,02/05/2016,8.3,0.236,0.147,1,144,11314
Stn II (East Bay),5,2016,02/05/2016,8.7,0.081,0.037,3,45,5379
Stn. IV (Central Bay),5,2016,02/05/2016,8.3,0.05,0.103,1,117,28158
Stn V (Northern West Bay),5,2016,02/05/2016,8.2,0.349,0.164,2,102,115840
Stn VIII (South Bay),5,2016,02/05/2016,8.3,0.055,0.077,1,620,1593
Stn XV (San Pedro),5,2016,02/05/2016,8.2,0.074,0.069,3,185,4578
Stn.XVI (Sta Rosa),5,2016,02/05/2016,8.3,0.054,0.067,2,107,6203
Stn XVII (Sanctuary),5,2016,02/05/2016,8.1,0.079,0.066,2,86,2089
Stn XVIII (Pagsanjan),5,2016,02/05/2016,9.4,0.056,0.004,4,51,15744
Stn. I (Central West Bay),6,2016,13/06/2016,9.4,0.063,0.108,8,85,344356
Stn II (East Bay),6,2016,13/06/2016,9.3,0.092,0.181,2,73,47649
Stn. IV (Central Bay),6,2016,13/06/2016,9.6,0.051,0.149,3,117,90969
Stn V (Northern West Bay),6,2016,13/06/2016,9,0.336,0.19,3,363,11845
Stn VIII (South Bay),6,2016,13/06/2016,9.4,0.054,0.095,3,709,42249
Stn XV (San Pedro),6,2016,13/06/2016,8.9,0.067,0.12,3,206,26173
Stn.XVI (Sta Rosa),6,2016,13/06/2016,9,0.042,0.087,2,83,43254
Stn XVII (Sanctuary),6,2016,13/06/2016,9.3,0.047,0.073,3,35,65904
Stn XVIII (Pagsanjan),6,2016,13/06/2016,9.4,0.031,0.12,4,26,131827
Stn. I (Central West Bay),7,2016,04/07/2016,8.8,0.025,0.134,2,185,25413
Stn II (East Bay),7,2016,04/07/2016,9.5,0.015,0.179,1,586,20652
Stn. IV (Central Bay),7,2016,04/07/2016,9.8,0.034,0.147,6,104,66686
Stn V (Northern West Bay),7,2016,04/07/2016,8.9,0.067,0.048,2,793,2026
Stn VIII (South Bay),7,2016,04/07/2016,9,0.031,0.143,1,517,67576
Stn XV (San Pedro),7,2016,04/07/2016,8.1,0.073,0.176,2,766,4287
Stn.XVI (Sta Rosa),7,2016,04/07/2016,8.7,0.039,0.074,2,136,13943
Stn XVII (Sanctuary),7,2016,04/07/2016,8.8,0.028,0.134,2,41,42655
Stn XVIII (Pagsanjan),7,2016,04/07/2016,9.6,0.001,0.001,3,38,23355
Stn. I (Central West Bay),8,2016,08/08/2016,8.1,0.313,0.235,3,126,18920
Stn II (East Bay),8,2016,08/08/2016,8.9,0.181,0.001,2,665,54790
Stn. IV (Central Bay),8,2016,08/08/2016,8.6,0.183,0.014,2,121,95082
Stn V (Northern West Bay),8,2016,08/08/2016,8.5,0.12,0.306,2,945,21919
Stn VIII (South Bay),8,2016,08/08/2016,9.1,0.069,0.001,2,586,25345
Stn XV (San Pedro),8,2016,08/08/2016,8.9,0.07,0.008,2,418,40474
Stn.XVI (Sta Rosa),8,2016,08/08/2016,8.8,0.033,0.009,7,211,19158
Stn XVII (Sanctuary),8,2016,08/08/2016,8.9,0.025,0.005,2,40,12369
Stn XVIII (Pagsanjan),8,2016,08/08/2016,8.9,0.256,0.001,3,99,65199
Stn. I (Central West Bay),9,2016,05/09/2016,7.8,0.076,0.134,3,335,467
Stn II (East Bay),9,2016,05/09/2016,9,0.048,0.011,2,754,18458
Stn. IV (Central Bay),9,2016,05/09/2016,9.6,0.073,0.039,3,49,38893
Stn V (Northern West Bay),9,2016,05/09/2016,8,0.029,0.145,2,305,1163
Stn VIII (South Bay),9,2016,05/09/2016,9,0.001,0.045,2,272,5688
Stn XV (San Pedro),9,2016,05/09/2016,8.7,0.001,0.072,3,418,4520
Stn.XVI (Sta Rosa),9,2016,05/09/2016,9,0.011,0.036,4,211,26911
Stn XVII (Sanctuary),9,2016,05/09/2016,9.4,0.055,0.061,3,82,68416
Stn XVIII (Pagsanjan),9,2016,05/09/2016,9.4,0.013,0.007,2,194,4110
Stn. I (Central West Bay),10,2016,03/10/2016,7.9,0.055,0.185,2,174.54205,31232
Stn II (East Bay),10,2016,03/10/2016,9.2,0.045,0.214,2,176.3702529,21593
Stn. IV (Central Bay),10,2016,03/10/2016,8.9,0.034,0.197,2,179.5646301,4751
Stn V (Northern West Bay),10,2016,03/10/2016,7.8,0.065,0.133,1,179.5437678,4861
Stn VIII (South Bay),10,2016,03/10/2016,8.7,0.008,0.062,2,175.9370529,23877
Stn XV (San Pedro),10,2016,03/10/2016,7.6,0.02,0.074,1,175.727282,24983
Stn.XVI (Sta Rosa),10,2016,03/10/2016,7.7,0.203,0.107,1,180.2599517,1085
Stn XVII (Sanctuary),10,2016,03/10/2016,8.8,0.093,0.071,2,166.0741622,75878
Stn XVIII (Pagsanjan),10,2016,03/10/2016,9,0.1,0.214,1,177.1818401,17314
Stn. I (Central West Bay),11,2016,07/11/2016,8,0.065,0.031,2,158.1620003,117594
Stn II (East Bay),11,2016,07/11/2016,8.116841377,0.32,0.051,1,179.3427203,5921
Stn. IV (Central Bay),11,2016,07/11/2016,8,0.052,0.084,1,164.6416059,83431
Stn V (Northern West Bay),11,2016,07/11/2016,8.4,0.036,0.054,1,180.3500434,610
Stn VIII (South Bay),11,2016,07/11/2016,8.3,0.032,0.258,0.5,97.66115879,436578
Stn XV (San Pedro),11,2016,07/11/2016,8.2,0.2,0.268,2,174.2742396,32644
Stn.XVI (Sta Rosa),11,2016,07/11/2016,8,0.101,0.066,2,141.0815093,207649
Stn XVII (Sanctuary),11,2016,07/11/2016,8.5,0.045,0.244,1,175.846772,24353
Stn XVIII (Pagsanjan),11,2016,07/11/2016,8.4,0.049,0.222,1,178.9954393,7752
Stn. I (Central West Bay),12,2016,05/12/2016,7.9,0.077,0.149,1,151.3079929,153731
Stn II (East Bay),12,2016,05/12/2016,7.9,0.024,0.122,2,178.2126818,11879
Stn. IV (Central Bay),12,2016,05/12/2016,9.6,0.04,0.255,2,172.4517257,42253
Stn V (Northern West Bay),12,2016,05/12/2016,8.3,0.034,0.072,1,170.9632178,50101
Stn VIII (South Bay),12,2016,05/12/2016,8,0.013,0.116,1,180.1448235,1692
Stn XV (San Pedro),12,2016,05/12/2016,8.5,0.001,0.184,3,168.7573853,61731
Stn.XVI (Sta Rosa),12,2016,05/12/2016,8.3,0.001,0.013,1,145.161823,186136
Stn XVII (Sanctuary),12,2016,05/12/2016,8.4,0.003,0.013,2,143.6458114,194129
Stn XVIII (Pagsanjan),12,2016,05/12/2016,8.8,0.001,0.113,1,179.0413387,7510
Stn. I (Central West Bay),1,2017,09/01/2017,8.4,0.001,0.238,1,60,9813
Stn II (East Bay),1,2017,09/01/2017,8,0.572,0.343,1,116,11434
Stn. IV (Central Bay),1,2017,09/01/2017,8.7,0.001,0.197,1,32,22330
Stn V (Northern West Bay),1,2017,09/01/2017,8.1,0.074,0.372,1,272,1468
Stn VIII (South Bay),1,2017,09/01/2017,8,0.056,0.243,1,90,10856
Stn XV (San Pedro),1,2017,09/01/2017,8.4,0.001,0.265,1,96,2870
Stn.XVI (Sta Rosa),1,2017,09/01/2017,8.6,0.001,0.233,3,102,3326
Stn XVII (Sanctuary),1,2017,09/01/2017,8.7,0.001,0.066,1,76,42902
Stn XVIII (Pagsanjan),1,2017,09/01/2017,7.8,0.033,0.16,1,73,5276
Stn. I (Central West Bay),2,2017,06/02/2017,8,1.16,0.089,1,163,1010
Stn II (East Bay),2,2017,06/02/2017,7.9,0.41,0.408,2,110,2896
Stn. IV (Central Bay),2,2017,06/02/2017,7.9,0.001,0.084,2,63,2423
Stn V (Northern West Bay),2,2017,06/02/2017,8.4,0.046,0.163,0.5,214,1589
Stn VIII (South Bay),2,2017,06/02/2017,7.8,0.041,0.143,0.5,193,3027
Stn XV (San Pedro),2,2017,06/02/2017,7.8,0.034,0.11,2,80,36676
Stn.XVI (Sta Rosa),2,2017,06/02/2017,7.9,0.003,0.105,1,90,16228
Stn XVII (Sanctuary),2,2017,06/02/2017,8.1,0.001,0.023,1,86,3549
Stn XVIII (Pagsanjan),2,2017,06/02/2017,7.9,0.25,0.24,1,73,5289
Stn. I (Central West Bay),3,2017,06/03/2017,7.9,0.009,0.173,2,512,26791
Stn II (East Bay),3,2017,06/03/2017,8.4,1.03,0.178,2,290,21964
Stn. IV (Central Bay),3,2017,06/03/2017,8,0.149,0.008,1,166,17402
Stn V (Northern West Bay),3,2017,06/03/2017,7.9,0.344,0.096,1,214,506
Stn VIII (South Bay),3,2017,06/03/2017,8,0.287,0.086,1,343,9044
Stn XV (San Pedro),3,2017,06/03/2017,8.5,0.203,0.076,2,159,36036
Stn.XVI (Sta Rosa),3,2017,06/03/2017,8.5,0.21,0.092,1,159,47305
Stn XVII (Sanctuary),3,2017,06/03/2017,8.3,0.001,0.023,1,188,274
Stn XVIII (Pagsanjan),3,2017,06/03/2017,8.3,0.033,0.016,2,88,29172
Stn. I (Central West Bay),4,2017,03/04/2017,7.7,0.011,0.251,3,973,3106
Stn II (East Bay),4,2017,03/04/2017,8.1,0.038,0.312,3,240,5819
Stn. IV (Central Bay),4,2017,03/04/2017,7.8,0.004,0.143,1,261,329473
Stn V (Northern West Bay),4,2017,03/04/2017,7.8,0.048,0.23,3,240,88325
Stn VIII (South Bay),4,2017,03/04/2017,7.8,0.042,0.286,3,552,29927
Stn XV (San Pedro),4,2017,03/04/2017,7.9,0.048,0.118,3,192,20728
Stn.XVI (Sta Rosa),4,2017,03/04/2017,7.9,0.02,0.144,2,272,92855
Stn XVII (Sanctuary),4,2017,03/04/2017,7.8,0.019,0.289,3,128,27510
Stn XVIII (Pagsanjan),4,2017,03/04/2017,7.8,0.073,0.157,2,161,24382
Stn. I (Central West Bay),5,2017,08/05/2017,8,0.143,0.357,2,586,13930
Stn II (East Bay),5,2017,08/05/2017,6.3,0.2,0.236,2,306,1359
Stn. IV (Central Bay),5,2017,08/05/2017,8.9,0.04,0.17,1,384,75663
Stn V (Northern West Bay),5,2017,08/05/2017,8.8,0.044,0.233,2,347,102077
Stn VIII (South Bay),5,2017,08/05/2017,8,0.041,0.17,2,432,1614
Stn XV (San Pedro),5,2017,08/05/2017,8,0.07,0.121,2,422,11383
Stn.XVI (Sta Rosa),5,2017,08/05/2017,7.9,0.001,0.066,2,186,14132
Stn XVII (Sanctuary),5,2017,08/05/2017,8.3,0.016,0.07,2,196,2556
Stn XVIII (Pagsanjan),5,2017,08/05/2017,8.3,0.019,0.001,2,426,7284
Stn. I (Central West Bay),6,2017,05/06/2017,8.4,0.25,0.286,4,296,35392
Stn II (East Bay),6,2017,05/06/2017,8,0.024,0.31,2,195,33403
Stn. IV (Central Bay),6,2017,05/06/2017,8.1,0.007,0.186,2,185,42630
Stn V (Northern West Bay),6,2017,05/06/2017,7.8,0.032,0.181,3,196,10344
Stn VIII (South Bay),6,2017,05/06/2017,7.8,0.042,0.182,2,290,19332
Stn XV (San Pedro),6,2017,05/06/2017,8.2,0.02,0.068,3,497,12673
Stn.XVI (Sta Rosa),6,2017,05/06/2017,7.8,0.001,0.096,2,258,17210
Stn XVII (Sanctuary),6,2017,05/06/2017,8,0.016,0.155,2,212,11751
Stn XVIII (Pagsanjan),6,2017,05/06/2017,8.1,0.016,0.001,3,352,18938
Stn. I (Central West Bay),7,2017,03/07/2017,8.2,0.058,0.205,2,163,18021
Stn II (East Bay),7,2017,03/07/2017,7.9,0.07,0.17,3,271,52753
Stn. IV (Central Bay),7,2017,03/07/2017,8,0.047,0.213,2,210,16764
Stn V (Northern West Bay),7,2017,03/07/2017,7.7,0.054,0.37,4,758,73214
Stn VIII (South Bay),7,2017,03/07/2017,8.4,0.051,0.101,2,732,36690
Stn XV (San Pedro),7,2017,03/07/2017,8.1,0.056,0.129,4,482,20097
Stn.XVI (Sta Rosa),7,2017,03/07/2017,8.3,0.043,0.071,3,211,14095
Stn XVII (Sanctuary),7,2017,03/07/2017,8.5,0.012,0.15,4,343,28221
Stn XVIII (Pagsanjan),7,2017,03/07/2017,8.5,0.059,0.186,3,485,101575
Stn. I (Central West Bay),8,2017,07/08/2017,8.6,0.099,0.149,2,163,2884
Stn II (East Bay),8,2017,07/08/2017,8.6,0.089,0.195,3,271,9404
Stn. IV (Central Bay),8,2017,07/08/2017,8.9,0.07,0.144,3,160,11075
Stn V (Northern West Bay),8,2017,07/08/2017,9,0.084,0.279,4,406,15769
Stn VIII (South Bay),8,2017,07/08/2017,8.5,0.054,0.286,4,756,26068
Stn XV (San Pedro),8,2017,07/08/2017,7.8,0.073,0.156,5,354,3522
Stn.XVI (Sta Rosa),8,2017,07/08/2017,8.2,0.054,0.106,2,196,1988
Stn XVII (Sanctuary),8,2017,07/08/2017,8.6,0.012,0.003,4,140,38204
Stn XVIII (Pagsanjan),8,2017,07/08/2017,8.6,0.024,0.185,4,172,1664
Stn. I (Central West Bay),9,2017,04/09/2017,8.2,0.09,0.276,2,291,53924
Stn II (East Bay),9,2017,04/09/2017,8.7,0.02,0.105,3,592,47093
Stn. IV (Central Bay),9,2017,04/09/2017,8.1,0.031,0.142,1,272,408535
Stn V (Northern West Bay),9,2017,04/09/2017,8.4,0.016,0.229,2,317,4906
Stn VIII (South Bay),9,2017,04/09/2017,8.1,0.025,0.093,3,245,31999
Stn XV (San Pedro),9,2017,04/09/2017,8,0.02,0.106,7,267,430002
Stn.XVI (Sta Rosa),9,2017,04/09/2017,8.1,0.053,0.101,2,230,380718
Stn XVII (Sanctuary),9,2017,04/09/2017,8.4,0.016,0.048,2,172,77709
Stn XVIII (Pagsanjan),9,2017,04/09/2017,8.4,0.023,0.048,4,172,33349
Stn. I (Central West Bay),10,2017,02/10/2017,8.2,0.051,0.362,2,196,57616
Stn II (East Bay),10,2017,02/10/2017,8.3,0.035,0.261,3,190,12769
Stn. IV (Central Bay),10,2017,02/10/2017,8,0.024,0.196,3,174,25628
Stn V (Northern West Bay),10,2017,02/10/2017,8.7,0.022,0.371,3,174,7763
Stn VIII (South Bay),10,2017,02/10/2017,8.1,0.036,0.276,4,140,331017
Stn XV (San Pedro),10,2017,02/10/2017,7.7,0.064,0.2,3,264,17482
Stn.XVI (Sta Rosa),10,2017,02/10/2017,8.4,0.02,0.182,2,240,14910
Stn XVII (Sanctuary),10,2017,02/10/2017,8.2,0.03,0.039,3,360,47712
Stn XVIII (Pagsanjan),10,2017,02/10/2017,8,0.031,0.036,3,101,17415
Stn. I (Central West Bay),11,2017,06/11/2017,7.8,0.031,0.263,3,196,336456
Stn II (East Bay),11,2017,06/11/2017,7.9,0.045,0.263,2,190,7356
Stn. IV (Central Bay),11,2017,06/11/2017,7.7,0.031,0.196,3,174,1673
Stn V (Northern West Bay),11,2017,06/11/2017,8.6,0.054,0.332,2,174,609
Stn VIII (South Bay),11,2017,06/11/2017,8.7,0.031,0.2,2,140,5325
Stn XV (San Pedro),11,2017,06/11/2017,8.1,0.058,0.165,4,264,59853
Stn.XVI (Sta Rosa),11,2017,06/11/2017,8.1,0.033,0.182,2,240,28071
Stn XVII (Sanctuary),11,2017,06/11/2017,8.1,0.028,0.039,1,360,1633
Stn XVIII (Pagsanjan),11,2017,06/11/2017,8.1,0.024,0.035,2,101,15089
Stn. I (Central West Bay),12,2017,04/12/2017,7.8,0.022,0.263,2,196,33098
Stn II (East Bay),12,2017,04/12/2017,7.9,0.036,0.122,2,190,14536
Stn. IV (Central Bay),12,2017,04/12/2017,8,0.036,0.222,1,174,487
Stn V (Northern West Bay),12,2017,04/12/2017,8,0.022,0.24,2,174,5090
Stn VIII (South Bay),12,2017,04/12/2017,8.1,0.025,0.116,2,140,5411
Stn XV (San Pedro),12,2017,04/12/2017,7.8,0.04,0.143,2,264,1316
Stn.XVI (Sta Rosa),12,2017,04/12/2017,8.4,0.018,0.185,2,240,8495
Stn XVII (Sanctuary),12,2017,04/12/2017,8.3,0.022,0.036,2,360,4608
Stn XVIII (Pagsanjan),12,2017,04/12/2017,8.1,0.018,0.026,1,101,16756
Stn. I (Central West Bay),1,2018,08/01/2018,7.7,0.221,0.135,0.5,8,2630
Stn II (East Bay),1,2018,08/01/2018,7.8,0.016,0.095,0.8,23,4203
Stn. IV (Central Bay),1,2018,08/01/2018,7.9,0.031,0.235,1,12,2490
Stn V (Northern West Bay),1,2018,08/01/2018,8.1,0.041,0.287,1.5,29,1841
Stn VIII (South Bay),1,2018,08/01/2018,8.3,0.011,0.178,1,36,753
Stn XV (San Pedro),1,2018,08/01/2018,8.3,0.018,0.211,1.1,14,1118
Stn.XVI (Sta Rosa),1,2018,08/01/2018,8.3,0.012,0.155,1.1,22,3827
Stn XVII (Sanctuary),1,2018,08/01/2018,8.1,0.031,0.193,0.5,9,773
Stn XVIII (Pagsanjan),1,2018,08/01/2018,8.3,0.022,0.113,0.5,9,2354
Stn. I (Central West Bay),2,2018,05/02/2018,8.2,0.019,0.213,1,5,320
Stn II (East Bay),2,2018,05/02/2018,8.4,0.054,0.178,1,7,2150
Stn. IV (Central Bay),2,2018,05/02/2018,8.3,0.013,0.178,1,14,446
Stn V (Northern West Bay),2,2018,05/02/2018,8.7,0.043,0.21,2,19,336
Stn VIII (South Bay),2,2018,05/02/2018,8.7,0.007,0.202,2,73,443
Stn XV (San Pedro),2,2018,05/02/2018,8.7,0.007,0.21,2,14,306
Stn.XVI (Sta Rosa),2,2018,05/02/2018,8.7,0.001,0.178,1.1,22,833
Stn XVII (Sanctuary),2,2018,05/02/2018,8.1,0.005,0.173,1.5,6,328
Stn XVIII (Pagsanjan),2,2018,05/02/2018,8.1,0.005,0.136,1,6,6083
Stn. I (Central West Bay),3,2018,05/03/2018,8.3,0.015,0.187,1,5,930
Stn II (East Bay),3,2018,05/03/2018,8.5,0.012,0.185,2,7,3971
Stn. IV (Central Bay),3,2018,05/03/2018,8.2,0.014,0.175,2,10,1690
Stn V (Northern West Bay),3,2018,05/03/2018,8.8,0.014,0.215,2,17,2071
Stn VIII (South Bay),3,2018,05/03/2018,8.6,0.008,0.21,1,54,7899
Stn XV (San Pedro),3,2018,05/03/2018,8.7,0.007,0.193,2,7,1183
Stn.XVI (Sta Rosa),3,2018,05/03/2018,8.7,0.003,0.162,1.1,14,616
Stn XVII (Sanctuary),3,2018,05/03/2018,8.2,0.003,0.164,4,4,2303
Stn XVIII (Pagsanjan),3,2018,05/03/2018,8.2,0.008,0.135,4,6,6550
Stn. I (Central West Bay),4,2018,02/04/2018,7.9,0.022,0.145,2,2.5,8767
Stn II (East Bay),4,2018,02/04/2018,8.1,0.008,0.154,1,3.5,2981
Stn. IV (Central Bay),4,2018,02/04/2018,8.2,0.025,0.15,2,5.6,1139
Stn V (Northern West Bay),4,2018,02/04/2018,8.1,0.02,0.186,5,17.3,4639
Stn VIII (South Bay),4,2018,02/04/2018,8.6,0.025,0.149,0.5,121.2,3592
Stn XV (San Pedro),4,2018,02/04/2018,8.6,0.025,0.118,2,4.4,1953
